Id,Mentions per 100k words,Gender
Alliser Thorne,5.81848649529284,M
Qyburn,5.81848649529284,M
Ygritte,5.81848649529284,?
Lady Hornwood,5.81848649529284,F
Starks,5.58574703548113,M
Skahaz mo Kandaq,5.58574703548113,M
Sunspear,5.58574703548113,?
Volantenes,5.58574703548113,?
Franklyn Flowers,5.35300757566942,M
Ninepenny Kings,5.35300757566942,?
Ser Gregor,5.35300757566942,M
Galazza Galare,5.35300757566942,?
Jack Bulwer,5.35300757566942,M
Lord Jonos,5.35300757566942,M
Lord Roose,5.35300757566942,M
Queen Daenerys,5.35300757566942,F
Sansa,5.35300757566942,M
Arianne,5.35300757566942,?
King-Beyond-the-Wall,5.35300757566942,?
Shae,5.35300757566942,F
Tyrion Lannister,5.1202681158577,?
Groleo,5.1202681158577,?
Dick Follard,5.1202681158577,M
Scolera,5.1202681158577,?
Erik Ironmaker,5.1202681158577,M
Lomas Longstrider,5.1202681158577,M
Arron,5.1202681158577,M
BRANDON NORREY,5.1202681158577,M
Riverrun,5.1202681158577,?
Donal Noye,5.1202681158577,M
Myr,5.1202681158577,?
Soren Shieldbreaker,5.1202681158577,M
Den,5.1202681158577,?
Bloodbeard,5.1202681158577,?
Lord Rickard,4.88752865604599,M
High Holiness,4.88752865604599,?
Longwater Pyke,4.88752865604599,M
Baelor,4.88752865604599,?
Yurkhaz,4.88752865604599,?
Rory,4.65478919623428,M
Inkpots,4.65478919623428,?
Prince Aegon,4.65478919623428,M
Tysha,4.65478919623428,F
Toregg,4.65478919623428,?
Robert Baratheon,4.65478919623428,M
Harwood Stout,4.65478919623428,M
Boros Blount,4.65478919623428,M
Lannisport,4.65478919623428,?
Coldhands,4.42204973642256,?
Blackwater,4.42204973642256,?
Dalla,4.42204973642256,?
Alys,4.42204973642256,?
She-Bear,4.42204973642256,?
Goghor,4.42204973642256,?
Hobb,4.42204973642256,?
Lady Leona,4.42204973642256,F
Hungerford,4.42204973642256,F
Barsena,4.18931027661085,?
Caggo,4.18931027661085,?
Casso Mogat,4.18931027661085,M
Selhorys,4.18931027661085,?
Rhaegal,4.18931027661085,?
Thistle,4.18931027661085,?
Sisterton,4.18931027661085,?
Rakharo,3.95657081679913,?
Magister Illyrio,3.95657081679913,?
Serwyn,3.95657081679913,F
Lord Balon,3.95657081679913,M
Septon Cellador,3.95657081679913,?
Robett Glover,3.95657081679913,M
Aggo,3.95657081679913,?
Ser Patrek,3.95657081679913,?
Highgarden,3.95657081679913,?
Hardin,3.95657081679913,M
Loras Tyrell,3.95657081679913,M
Aenys Frey,3.95657081679913,?
Woods,3.95657081679913,M
Symon Stripeback,3.95657081679913,?
Arch,3.95657081679913,?
Black Balaq,3.95657081679913,M
Benerro,3.95657081679913,?
GEORGE R. R. MARTIN,3.72383135698742,M
Khaleesi,3.72383135698742,?
Jhogo,3.72383135698742,?
Torrhen,3.72383135698742,?
Old Nan,3.72383135698742,F
Raventree,3.72383135698742,?
Emrick,3.72383135698742,M
Ser Denys,3.72383135698742,M
Lady Cerwyn,3.72383135698742,F
Blind Doss,3.72383135698742,M
Groat,3.72383135698742,M
Lord Ghael,3.72383135698742,M
Ellaria,3.72383135698742,?
Margaery Tyrell,3.72383135698742,M
Daznak,3.49109189717571,?
Hightower,3.49109189717571,M
Moelle,3.49109189717571,?
Trystane,3.49109189717571,M
Peasebury,3.49109189717571,M
Lyseni,3.49109189717571,?
Tyene,3.49109189717571,?
Wick Whittlestick,3.49109189717571,M
Wendel,3.49109189717571,M
Cleon,3.49109189717571,?
Tyrosh,3.49109189717571,?
Steelshanks Walton,3.49109189717571,M
Whoresbane,3.49109189717571,?
Yunzak,3.49109189717571,?
Salladhor Saan,3.49109189717571,?
Ser Rodrik,3.25835243736399,?
Greyguard,3.25835243736399,?
Lady Sybelle,3.25835243736399,F
Qezza,3.25835243736399,?
Ser Meryn,3.25835243736399,M
Lump,3.25835243736399,?
Sigorn,3.25835243736399,?
Giantslayer,3.25835243736399,?
Salla,3.25835243736399,?
Free Brothers,3.25835243736399,?
Ryswells,3.25835243736399,?
Ramsay Snow,3.25835243736399,M
Boltons,3.25835243736399,?
Pentoshi,3.25835243736399,?
Citadel,3.25835243736399,?
Lord Crow,3.25835243736399,M
Ser Harys,3.02561297755228,?
Ser Jared,3.02561297755228,M
Gerold Dayne,3.02561297755228,M
Tolos,3.02561297755228,?
Ser Marlon,3.02561297755228,M
Longclaw,3.02561297755228,?
Joramun,3.02561297755228,F
Arbor,3.02561297755228,?
Rivers,3.02561297755228,?
Craster,3.02561297755228,?
Lancel,3.02561297755228,?
Harlaw,3.02561297755228,?
Twins,3.02561297755228,?
Tom Barleycorn,2.79287351774057,M
Hal,2.79287351774057,M
Ulmer,2.79287351774057,F
Borroq,2.79287351774057,?
Lord Yronwood,2.79287351774057,M
Raymun Redbeard,2.79287351774057,?
Kem,2.79287351774057,?
Marselen,2.79287351774057,?
Owen,2.79287351774057,M
Lord Walder,2.79287351774057,M
Lord Dustin,2.79287351774057,M
Harrenhal,2.79287351774057,?
Asshai,2.79287351774057,?
Patchface,2.79287351774057,?
Lord Randyll,2.79287351774057,M
Lady Walda,2.79287351774057,F
Theon Turncloak,2.79287351774057,?
Pynto,2.79287351774057,?
Bittersteel,2.79287351774057,?
Cromm,2.79287351774057,?
Tyroshi,2.79287351774057,?
Malaquo,2.56013405792885,M
Burton Humble,2.56013405792885,M
King Aerys,2.56013405792885,M
Belaquo Bonebreaker,2.56013405792885,?
Lord Arnolf,2.56013405792885,M
Prince Lewyn,2.56013405792885,M
Tom Tidewood,2.56013405792885,M
Selyse,2.56013405792885,?
Ser Rolly,2.56013405792885,?
Littlefinger,2.56013405792885,M
Lhazar,2.56013405792885,?
Gerrick Kingsblood,2.56013405792885,?
Duskendale,2.56013405792885,?
Kasporio,2.56013405792885,?
Nymeria,2.56013405792885,?
Grimtongue,2.56013405792885,?
Hoster,2.56013405792885,M
Mother Mole,2.56013405792885,?
Wylis,2.56013405792885,?
Hewett,2.32739459811714,M
Wull,2.32739459811714,?
Dywen,2.32739459811714,?
Oberyn,2.32739459811714,M
Jon Arryn,2.32739459811714,M
Lightbringer,2.32739459811714,?
Denzo D’han,2.32739459811714,?
Greatjon,2.32739459811714,?
Qaggaz,2.32739459811714,?
Catelyn Tully,2.32739459811714,?
Ser Bartimus,2.32739459811714,?
Rodrik Ryswell,2.32739459811714,?
Harle,2.32739459811714,?
Quent,2.32739459811714,?
Ashara,2.32739459811714,F
Lady Asha,2.09465513830542,F
Ser Ronald,2.09465513830542,M
Aeron,2.09465513830542,?
Yunkishman,2.09465513830542,?
Merman,2.09465513830542,?
Grazhar,2.09465513830542,?
Ser Brynden,2.09465513830542,?
Hazzea,2.09465513830542,?
Laswell Peake,2.09465513830542,M
Lord Davos,2.09465513830542,?
Grazdan,2.09465513830542,M
Darry,2.09465513830542,M
Frenya,2.09465513830542,?
Damphair,2.09465513830542,?
Barth,2.09465513830542,M
Ser Malegorn,2.09465513830542,?
Halleck,2.09465513830542,?
Lord Bracken,2.09465513830542,M
Joff,2.09465513830542,?
Marghaz,2.09465513830542,?
Pahl,2.09465513830542,M
Godric Borrell,1.86191567849371,F
Lorren,1.86191567849371,?
Larraq,1.86191567849371,?
Ser Narbert,1.86191567849371,?
Lucas,1.86191567849371,M
Sealord,1.86191567849371,?
Greenguts,1.86191567849371,?
Torgon,1.86191567849371,?
Umma,1.86191567849371,?
Steelskin,1.86191567849371,?
Willow,1.86191567849371,?
Blackheart,1.86191567849371,?
Zhak,1.86191567849371,?
Randyll Tarly,1.86191567849371,?
Wex,1.86191567849371,?
Hop-Robin,1.86191567849371,?
Harma,1.86191567849371,?
Oppo,1.86191567849371,?
Miklaz,1.86191567849371,?
Paxter Redwyne,1.86191567849371,?
Lysa Arryn,1.86191567849371,?
Halder,1.86191567849371,M
Garin,1.86191567849371,M
Lord Locke,1.86191567849371,M
Ser Grandfather,1.86191567849371,?
Ser Brus,1.86191567849371,?
Rickon,1.86191567849371,?
Melony,1.86191567849371,F
Mantarys,1.86191567849371,?
Rolfe,1.86191567849371,M
Lysono Maar,1.86191567849371,?
Nyessos,1.629176218682,?
Lady Lu,1.629176218682,F
Volon Therys,1.629176218682,?
Lyanna,1.629176218682,?
Hazkar,1.629176218682,?
Pyp,1.629176218682,?
Daemon Blackfyre,1.629176218682,?
Lord Mormont,1.629176218682,M
Barba,1.629176218682,M
Marq Mandrake,1.629176218682,?
Quenton,1.629176218682,?
ANDREW ESTERMONT,1.629176218682,M
Pycelle,1.629176218682,?
Darkstar,1.629176218682,?
Azor Ahai,1.629176218682,?
Vogarro,1.629176218682,?
Lord Petyr,1.629176218682,M
Lord Tycho,1.629176218682,M
Wulfe,1.629176218682,?
Merreq,1.629176218682,?
Lewis Lanster,1.629176218682,M
Tolosi,1.629176218682,?
Missy,1.629176218682,F
Peck,1.629176218682,M
Maester Kedry,1.629176218682,?
Big Liddle,1.629176218682,?
Ty,1.629176218682,?
Targaryens,1.39643675887028,?
Gerion,1.39643675887028,?
Meadowlark,1.39643675887028,?
Osney Kettleblack,1.39643675887028,?
Danny Flint,1.39643675887028,M
Jace,1.39643675887028,M
Lady Lemore,1.39643675887028,F
Mander,1.39643675887028,?
Ghoyan Drohe,1.39643675887028,?
Balon Greyjoy,1.39643675887028,?
Lady Glover,1.39643675887028,F
DUNCAN,1.39643675887028,M
Ralf the Limper,1.39643675887028,?
Arya Horseface,1.39643675887028,M
Rhaenys,1.39643675887028,?
Rommo,1.39643675887028,?
Bronn,1.39643675887028,?
Hildy,1.39643675887028,?
Tycho Nestoris,1.39643675887028,?
Jaehaerys,1.39643675887028,?
Jokin,1.39643675887028,?
Cairns,1.39643675887028,M
Khal Pono,1.39643675887028,?
Mhysa,1.39643675887028,?
Vhagar,1.39643675887028,?
Howd Wanderer,1.39643675887028,M
Ronnet,1.39643675887028,?
Brusco,1.39643675887028,?
Tumco,1.39643675887028,?
Benjen Stark,1.16369729905857,M
Lady Catelyn,1.16369729905857,?
Planky Town,1.16369729905857,?
Maegor,1.16369729905857,?
Sandor Clegane,1.16369729905857,M
Luton,1.16369729905857,?
SER ORMUND WYLDE,1.16369729905857,?
Ezzara,1.16369729905857,?
Therry,1.16369729905857,?
House Bolton,1.16369729905857,?
Mikken,1.16369729905857,?
Qhorin Halfhand,1.16369729905857,?
Kedge,1.16369729905857,?
Yaros,1.16369729905857,?
Serry,1.16369729905857,?
Wyk,1.16369729905857,M
Maester Harmune,1.16369729905857,?
Lord Dondarrion,1.16369729905857,M
Marya,1.16369729905857,F
Grant,1.16369729905857,?
Lord Hornwood,1.16369729905857,M
Brackens,1.16369729905857,?
Brienne,1.16369729905857,?
Grenn,1.16369729905857,?
Hother,1.16369729905857,?
Eroeh,1.16369729905857,?
Alysane,1.16369729905857,?
Mirri Maz Duur,1.16369729905857,M
Talea,1.16369729905857,?
Dagmer,1.16369729905857,?
Goodheart,0.930957839246855,?
Roggon,0.930957839246855,?
Morgo,0.930957839246855,?
Grey Jeyne,0.930957839246855,M
Dorna,0.930957839246855,?
Zahrina,0.930957839246855,?
Renly,0.930957839246855,?
Lady Korra,0.930957839246855,F
Dagon Greyjoy,0.930957839246855,?
Red Ronnet,0.930957839246855,?
Fulk,0.930957839246855,?
Rhaego,0.930957839246855,?
Lady Maege,0.930957839246855,F
Tristifer Botley,0.930957839246855,?
Gorys Edoryen,0.930957839246855,?
Kezmya,0.930957839246855,?
Yherizan,0.930957839246855,?
Mollono Yos Dob,0.930957839246855,?
Domeric,0.930957839246855,?
Draqaz,0.930957839246855,?
Daeron,0.930957839246855,?
Dryn,0.930957839246855,?
Summer Islanders,0.930957839246855,?
Vaes Dothrak,0.930957839246855,?
Doniphos,0.930957839246855,?
Brogg,0.930957839246855,?
Huntsman,0.930957839246855,?
Rhaegar Frey,0.930957839246855,F
Dannel,0.930957839246855,?
Queen Whore,0.930957839246855,F
Halfman,0.930957839246855,?
Harl,0.930957839246855,?
Ser Orson,0.930957839246855,?
Mezzara,0.930957839246855,?
Duckfield,0.930957839246855,?
Gulltown,0.930957839246855,?
Harwood Fell,0.930957839246855,?
Coles,0.930957839246855,M
Tal Toraq,0.930957839246855,M
Ser Osmund,0.930957839246855,?
Alf of Runnymudd,0.930957839246855,M
Jarl,0.930957839246855,?
ELINOR TYRELL,0.930957839246855,?
Symond,0.930957839246855,M
Daena,0.930957839246855,?
Raymund,0.698218379435141,?
Brea,0.698218379435141,?
Fowler,0.698218379435141,?
Eldon,0.698218379435141,M
Sybelle Glover,0.698218379435141,?
Rich,0.698218379435141,M
Samwell Tarly,0.698218379435141,?
LORD NESTOR ROYCE,0.698218379435141,?
Devyn Sealskinner,0.698218379435141,?
Orell,0.698218379435141,?
Aerys II Targaryen,0.698218379435141,?
Lady Alannys,0.698218379435141,F
Tormund Horn-Blower,0.698218379435141,?
Smith,0.698218379435141,?
Pate,0.698218379435141,?
Ny Sar,0.698218379435141,M
Lord Willam,0.698218379435141,?
Jory,0.698218379435141,?
Rickard Ryswell,0.698218379435141,?
Motho,0.698218379435141,?
Lord Seaworth,0.698218379435141,M
Cook,0.698218379435141,?
GARRETT,0.698218379435141,?
Malo,0.698218379435141,?
Lord Wobblecheeks,0.698218379435141,?
Lord Eon,0.698218379435141,?
Dunsen,0.698218379435141,?
Ygon Oldfather,0.698218379435141,?
Alios,0.698218379435141,?
Lord Too-Fat-to-Sit-a-Horse,0.698218379435141,M
Merrel,0.698218379435141,?
Greenstone,0.698218379435141,?
Aemon Targaryen,0.698218379435141,?
Rylona Rhee,0.698218379435141,?
Bhakaz,0.698218379435141,?
Roro,0.698218379435141,?
Doreah,0.698218379435141,?
Roose Ryswell,0.698218379435141,?
Raff,0.698218379435141,?
Gavin,0.698218379435141,?
Ser Benethon,0.698218379435141,?
Tormund Thunderfist,0.698218379435141,?
Merrett,0.698218379435141,?
Lymond Pease,0.698218379435141,?
MARON,0.698218379435141,?
Redfort,0.698218379435141,?
Azzak,0.698218379435141,?
Ser Osney,0.698218379435141,?
Fat Walda,0.698218379435141,?
Serra,0.698218379435141,?
Elza,0.698218379435141,?
LORD HARWOOD,0.698218379435141,?
Dareon,0.698218379435141,?
Styr,0.698218379435141,?
Alfyn Crowkiller,0.698218379435141,?
Osmund Kettleblack,0.465478919623428,?
HARETH,0.465478919623428,?
Noy,0.465478919623428,?
Dick Cole,0.465478919623428,?
Ghazeen,0.465478919623428,?
Mullin,0.465478919623428,M
Jez,0.465478919623428,?
Lord Karstark,0.465478919623428,?
Khal Jhaqo,0.465478919623428,?
Luwin,0.465478919623428,?
LADY ERMESANDE HAYFORD,0.465478919623428,?
Visenya,0.465478919623428,?
Ser Lambert,0.465478919623428,?
Tagganaro,0.465478919623428,?
Gynir Rednose,0.465478919623428,?
Stafford,0.465478919623428,?
Lord Bowen,0.465478919623428,?
WILLEM FREY,0.465478919623428,?
BRYEN,0.465478919623428,?
Kraken,0.465478919623428,?
Left Hand Lew,0.465478919623428,?
Gella,0.465478919623428,?
Ser Kennos,0.465478919623428,?
Hamish the Harper,0.465478919623428,?
Rain House,0.465478919623428,?
Steffon,0.465478919623428,?
Badbrother,0.465478919623428,?
Ser Emmon Frey,0.465478919623428,?
Oldcastle,0.465478919623428,?
Loptail,0.465478919623428,?
Ricasso,0.465478919623428,?
Parris,0.465478919623428,?
Lyra,0.465478919623428,?
Ser Loras,0.465478919623428,?
Donnel Hill,0.465478919623428,?
Ser Dorden,0.465478919623428,?
ALLA,0.465478919623428,?
Arthur Dayne,0.465478919623428,?
Tyrek,0.465478919623428,?
Nagga,0.465478919623428,?
Lorent,0.465478919623428,?
Petyr Baelish,0.465478919623428,?
Nute,0.465478919623428,?
Shagga,0.465478919623428,?
House Tyrell,0.465478919623428,?
Ser Gerold,0.465478919623428,?
Bedwyck,0.465478919623428,?
Bill Bone,0.465478919623428,?
Greyskin,0.465478919623428,?
Genna,0.465478919623428,?
Tygett,0.465478919623428,?
Aegon Targaryen,0.465478919623428,?
Jon Stark,0.465478919623428,?
Dacey,0.465478919623428,?
Lord Quellon,0.465478919623428,?
gore,0.465478919623428,?
Jenny,0.465478919623428,?
Joso,0.465478919623428,?
Meha,0.465478919623428,?
Maester Walys,0.465478919623428,?
Brendel Byrne,0.232739459811714,?
Robert Strong,0.232739459811714,?
Rhaegar Targaryen,0.232739459811714,?
Edrick Snowbeard,0.232739459811714,?
RALF STONEHOUSE,0.232739459811714,?
WENDEL MANDERLY,0.232739459811714,?
LORD HUNTER,0.232739459811714,?
