Id,Mentions per 100k words,Gender
Jon,452.678249333783,M
Tyrion,350.505626476441,M
Dany,229.248367914538,M
Ramsay,174.554594858785,M
Asha,159.892008890647,F
Stannis,120.791779642279,M
Aegon,102.405362317154,M
Quentyn,97.2850942012964,M
Griff,93.3285233844972,M
Ser Barristan,78.2004584967358,M
Melisandre,75.1748455191836,F
Mance,74.2438876799367,M
Jaime,61.2104779304807,M
Meereen,60.0467806314222,?
Penny,58.6503438725519,M
Hizdahr,58.4176044127402,F
Lord Wyman,57.9521254931167,M
Daenerys,57.4866465734933,F
Dorne,54.2282941361293,M
Reznak,53.0645968370707,M
Reek,52.831857377259,?
Ser Kevan,50.9699416987653,M
House,50.5044627791419,M
Theon,50.0389838595185,?
Bran,46.0824130427193,?
Gerris,44.4532368240373,M
Winterfell,43.5222789847905,?
Bolton,40.7294054670499,M
Davos,39.1002292483679,M
Brown Ben,39.1002292483679,M
Jon Connington,38.1692714091211,M
Val,37.9365319493093,F
Robb,37.7037924894976,M
Bowen Marsh,37.2383135698742,M
Grey Worm,36.0746162708156,M
Lord Tywin,34.9109189717571,M
Meera,33.5144822128868,F
Robert,32.8162638334516,M
Westeros,32.5835243736399,?
Daario,32.1180454540165,?
Haldon,31.6525665343931,?
Arya,30.7216086951462,M
Skahaz,30.7216086951462,?
Cersei,29.5579113960877,?
White,29.3251719362759,M
Tommen,29.3251719362759,M
Tormund,27.6959957175939,M
Jojen,26.2995589587237,M
Edd,26.0668194989119,M
Sam,25.3686011194768,M
Abel,25.1358616596651,M
Ser Justin,25.1358616596651,M
Volantis,25.1358616596651,M
Wolf,24.4376432802299,M
Strickland,24.2049038204182,M
Lady Dustin,23.9721643606065,F
Hodor,23.0412065213597,?
Lord Eddard,22.8084670615479,M
Victarion,22.1102486821128,?
Yunkai,21.4120303026777,F
Holly,21.179290842866,F
Suggs,21.179290842866,M
Janos Slynt,20.9465513830542,M
Will,20.9465513830542,?
Ser Jorah,20.4810724634308,?
Rhaegar,19.7828540839957,M
Pyke,19.550114624184,M
Walder,19.550114624184,M
Belwas,19.3173751643722,M
Jeyne,19.0846357045605,M
Aye,19.0846357045605,?
Iron Emmett,19.0846357045605,M
Dothraki,18.3864173251254,?
Garth,18.3864173251254,M
Ghiscari,18.3864173251254,F
Roose Bolton,17.920938405502,M
Illyrio,17.920938405502,?
Astapor,17.920938405502,?
Gerrold,16.9899805662551,F
Mother Rhoyne,16.7572411064434,F
Rowan,16.29176218682,M
Deepwood Motte,16.29176218682,M
Loraq,16.0590227270083,?
Aly Mormont,15.8262832671965,?
Castle Black,15.8262832671965,M
Lord Godric,15.5935438073848,M
Yezzan,14.8953254279497,?
Missandei,14.8953254279497,F
Mace Tyrell,14.8953254279497,M
Golden Company,14.8953254279497,M
Lord Brynden,14.8953254279497,M
Galbart Glover,14.662585968138,M
Ser Balon,14.4298465083263,M
Ralf Kenning,14.1971070485145,M
Drogon,13.9643675887028,?
Braavos,13.9643675887028,F
Qarth,13.7316281288911,?
Ser Axell,13.7316281288911,M
Ned Stark,13.4988886690794,M
Devan,13.2661492092677,M
Gilly,13.033409749456,M
Bay,12.8006702896443,?
Freys,12.8006702896443,?
Hugor Hill,12.5679308298325,M
Green Grace,12.3351913700208,?
Cletus,12.3351913700208,M
Meris,12.3351913700208,M
Prince Quentyn,12.3351913700208,M
Varamyr,11.8697124503974,F
Pentos,11.6369729905857,?
Eastwatch,11.6369729905857,?
Prince Doran,11.6369729905857,M
Horpe,11.404233530774,M
Dornishmen,11.404233530774,F
Doran,11.404233530774,M
Ghis,11.1714940709623,?
Yarwyck,10.9387546111505,F
Irri,10.9387546111505,?
King Stannis,10.9387546111505,M
Big Walder,10.7060151513388,M
Kingsguard,10.4732756915271,?
Shireen,10.4732756915271,F
High Valyrian,10.4732756915271,?
Queen Selyse,10.2405362317154,F
Euron,10.2405362317154,M
Ser Archibald,10.2405362317154,M
Lemore,10.2405362317154,?
Varys,10.2405362317154,M
Moqorro,10.0077967719037,?
Ramsay Bolton,9.77505731209198,M
Wun Weg Wun Dar Wun,9.77505731209198,M
Ser Godry,9.54231785228027,?
Maester Aemon,9.54231785228027,?
Stannis Baratheon,9.54231785228027,?
Dragonstone,9.54231785228027,?
Westerosi,9.54231785228027,?
Myrcella,9.30957839246855,F
Yandry,9.30957839246855,?
Bracken,9.07683893265684,M
Brandon,9.07683893265684,M
Skinner,8.84409947284512,M
Xaro,8.84409947284512,?
Aerys,8.84409947284512,M
Jhiqui,8.61136001303341,?
Arnolf Karstark,8.61136001303341,?
Dagon,8.61136001303341,M
Meereenese,8.61136001303341,?
Alyn,8.3786205532217,M
Frey,8.3786205532217,?
Beth,8.3786205532217,F
Damon Dance-for-Me,8.3786205532217,M
Lady Arya,8.3786205532217,F
Valyria,8.14588109340998,?
Frog,8.14588109340998,?
Stormcrows,8.14588109340998,?
Cregan,8.14588109340998,M
Yollo,7.91314163359827,?
Hotah,7.91314163359827,?
Blackwood,7.91314163359827,M
Qarl,7.68040217378656,?
Khrazz,7.68040217378656,?
Lys,7.68040217378656,?
Hardhome,7.44766271397484,?
Clydas,7.44766271397484,?
Obara,7.44766271397484,M
Griffin,7.44766271397484,M
Barrowton,7.44766271397484,?
Dick Straw,7.21492325416313,M
Lord Tytos,7.21492325416313,M
Liddle,7.21492325416313,M
Ben Bones,7.21492325416313,M
Ysilla,6.98218379435141,?
Elia,6.98218379435141,M
Lord Steward,6.98218379435141,M
Kyra,6.7494443345397,F
Viserion,6.7494443345397,?
Lady Alys,6.7494443345397,F
Roger Ryswell,6.7494443345397,M
Margaery,6.51670487472799,F
Astapori,6.51670487472799,?
Yunkishmen,6.51670487472799,?
Braavosi,6.51670487472799,?
Magnar,6.51670487472799,?
Khal Drogo,6.51670487472799,?
Joffrey,6.51670487472799,?
Ser Hosteen,6.51670487472799,F
Moat Cailin,6.51670487472799,?
Hagen,6.28396541491627,M
Septa Unella,6.28396541491627,?
Mully,6.28396541491627,?
Myles,6.28396541491627,M
Tris Botley,6.28396541491627,?
Kerwin,6.05122595510456,M
Rattleshirt,6.05122595510456,?
Haggon,6.05122595510456,?
Viserys,6.05122595510456,?
